level,turn_count,mean_ms,p50_ms,p95_ms,total_wall_seconds
0,412,35.02368817714244,32.79000049951719,74.00673110023489,14.504956999997376
1,681,35.78386846231468,35.33524999511428,63.60883399611339,24.47165700000187
2,1105,21.395593445312983,17.658166005276144,42.05055819475092,23.732599499999196
3,1182,21.753341263058566,17.68956299929414,42.50185269556823,25.85880575000192
4,1279,22.005432082927296,18.644583004061133,44.22739939618618,28.300619249988813
