level,sample_id,scenario_type,outcome,rank_movement,baseline_rank,perturbed_rank,baseline_hit_turn,perturbed_hit_turn
0,public_0110,browsing,unchanged,unchanged,1,1,2,2
0,public_0111,buying,unchanged,unchanged,1,1,2,2
0,public_0112,boundary,unchanged,unchanged,1,1,4,4
0,public_0113,browsing,unchanged,unchanged,1,1,2,2
0,public_0114,buying,unchanged,unchanged,1,1,2,2
0,public_0115,browsing,unchanged,unchanged,8,8,2,2
0,public_0116,buying,unchanged,unchanged,7,7,1,1
0,public_0117,buying,unchanged,unchanged,5,5,1,1
0,public_0118,buying,unchanged,unchanged,1,1,2,2
0,public_0119,buying,unchanged,unchanged,1,1,1,1
0,public_0120,browsing,unchanged,unchanged,2,2,3,3
0,public_0121,browsing,unchanged,unchanged,1,1,2,2
0,public_0122,browsing,unchanged,unchanged,1,1,2,2
0,public_0123,intent_override,unchanged,unchanged,1,1,3,3
0,public_0124,buying,unchanged,unchanged,1,1,2,2
0,public_0125,intent_override,unchanged,unchanged,1,1,4,4
0,public_0126,browsing,unchanged,unchanged,1,1,3,3
0,public_0127,browsing,unchanged,unchanged,3,3,3,3
0,public_0128,browsing,unchanged,unchanged,1,1,2,2
0,public_0129,buying,unchanged,unchanged,4,4,1,1
0,public_0130,intent_override,unchanged,unchanged,4,4,3,3
0,public_0131,boundary,unchanged,unchanged,2,2,2,2
0,public_0132,buying,unchanged,unchanged,1,1,2,2
0,public_0133,buying,unchanged,unchanged,1,1,2,2
0,public_0134,browsing,unchanged,unchanged,1,1,2,2
0,public_0135,buying,unchanged,unchanged,7,7,2,2
0,public_0136,buying,unchanged,unchanged,2,2,2,2
0,public_0137,browsing,unchanged,unchanged,7,7,2,2
0,public_0138,browsing,unchanged,unchanged,9,9,2,2
0,public_0139,browsing,unchanged,unchanged,1,1,2,2
0,public_0140,browsing,unchanged,unchanged,3,3,2,2
0,public_0141,browsing,unchanged,unchanged,1,1,2,2
0,public_0142,intent_override,unchanged,unchanged,1,1,4,4
0,public_0143,buying,unchanged,unchanged,7,7,1,1
0,public_0144,intent_override,unchanged,unchanged,8,8,6,6
0,public_0145,buying,unchanged,unchanged,9,9,5,5
0,public_0146,buying,unchanged,unchanged,1,1,2,2
0,public_0147,browsing,unchanged,unchanged,1,1,2,2
0,public_0148,buying,unchanged,unchanged,1,1,2,2
0,public_0149,buying,unchanged,unchanged,4,4,2,2
0,public_0150,browsing,unchanged,unchanged,1,1,2,2
0,public_0151,browsing,unchanged,unchanged,1,1,3,3
0,public_0152,buying,unchanged,unchanged,1,1,2,2
0,public_0153,browsing,unchanged,unchanged,1,1,2,2
0,public_0154,buying,unchanged,unchanged,3,3,2,2
0,public_0155,buying,unchanged,unchanged,7,7,1,1
0,public_0156,buying,unchanged,unchanged,1,1,1,1
0,public_0157,buying,unchanged,unchanged,4,4,1,1
0,public_0158,browsing,unchanged,unchanged,1,1,2,2
0,public_0159,buying,unchanged,unchanged,3,3,2,2
0,public_0160,buying,unchanged,unchanged,3,3,1,1
0,public_0161,buying,unchanged,unchanged,3,3,2,2
0,public_0162,browsing,unchanged,unchanged,1,1,2,2
0,public_0163,buying,unchanged,unchanged,1,1,2,2
0,public_0164,browsing,unchanged,unchanged,7,7,2,2
0,public_0165,buying,unchanged,unchanged,1,1,2,2
0,public_0166,intent_override,unchanged,unchanged,1,1,4,4
0,public_0167,browsing,unchanged,unchanged,2,2,2,2
0,public_0168,buying,unchanged,unchanged,1,1,1,1
0,public_0169,boundary,unchanged,unchanged,1,1,3,3
0,public_0170,browsing,unchanged,unchanged,1,1,3,3
0,public_0171,buying,unchanged,unchanged,1,1,2,2
0,public_0172,browsing,unchanged,unchanged,5,5,2,2
0,public_0173,browsing,unchanged,unchanged,1,1,3,3
0,public_0174,buying,unchanged,unchanged,4,4,3,3
0,public_0175,browsing,unchanged,unchanged,3,3,3,3
0,public_0176,browsing,unchanged,unchanged,9,9,1,1
0,public_0177,intent_override,unchanged,unchanged,1,1,4,4
0,public_0178,buying,unchanged,unchanged,6,6,4,4
0,public_0179,buying,unchanged,unchanged,1,1,2,2
0,public_0180,boundary,unchanged,unchanged,3,3,3,3
0,public_0181,browsing,unchanged,unchanged,1,1,2,2
0,public_0182,browsing,unchanged,unchanged,1,1,2,2
0,public_0183,intent_override,unchanged,unchanged,2,2,4,4
0,public_0184,browsing,unchanged,unchanged,3,3,2,2
0,public_0185,buying,unchanged,unchanged,7,7,1,1
0,public_0186,intent_override,unchanged,unchanged,1,1,4,4
0,public_0187,boundary,unchanged,unchanged,1,1,4,4
0,public_0188,buying,unchanged,unchanged,1,1,2,2
0,public_0189,buying,unchanged,unchanged,2,2,2,2
0,public_0190,buying,unchanged,unchanged,1,1,2,2
0,public_0191,browsing,unchanged,unchanged,1,1,2,2
0,public_0192,boundary,unchanged,unchanged,1,1,3,3
0,public_0193,buying,unchanged,unchanged,1,1,1,1
0,public_0194,buying,unchanged,unchanged,5,5,2,2
0,public_0195,browsing,unchanged,unchanged,2,2,2,2
0,public_0196,browsing,unchanged,unchanged,1,1,2,2
0,public_0197,intent_override,unchanged,unchanged,1,1,4,4
0,public_0198,intent_override,unchanged,unchanged,2,2,4,4
0,public_0199,buying,unchanged,unchanged,1,1,3,3
0,public_0200,buying,unchanged,unchanged,1,1,2,2
1,public_0001,buying,improved,improved,3,1,1,2
1,public_0002,intent_override,worsened,worsened,1,9,6,9
1,public_0003,intent_override,worsened,unchanged,1,1,3,4
1,public_0004,intent_override,worsened,unchanged,1,1,3,4
1,public_0005,buying,worsened,worsened,1,7,2,2
1,public_0006,browsing,improved,improved,6,1,2,3
1,public_0007,browsing,worsened,worsened,1,3,2,2
1,public_0008,buying,worsened,unchanged,1,1,2,3
1,public_0009,buying,unchanged,unchanged,1,1,2,2
1,public_0010,buying,improved,improved,5,2,1,2
1,public_0011,browsing,worsened,worsened,1,4,3,3
1,public_0012,browsing,unchanged,unchanged,1,1,3,3
1,public_0013,intent_override,unchanged,unchanged,1,1,4,4
1,public_0014,browsing,unchanged,unchanged,1,1,2,2
1,public_0015,browsing,improved,improved,2,1,2,3
1,public_0016,browsing,worsened,worsened,1,9,3,6
1,public_0017,buying,improved,improved,10,4,2,3
1,public_0018,buying,improved,improved,3,1,1,2
1,public_0019,browsing,worsened,worsened,1,3,2,2
1,public_0020,buying,unchanged,unchanged,,,,
1,public_0021,browsing,worsened,worsened,1,4,2,3
1,public_0022,buying,unchanged,unchanged,1,1,2,2
1,public_0023,intent_override,unchanged,unchanged,1,1,4,4
1,public_0024,buying,improved,improved,8,2,1,2
1,public_0025,browsing,unchanged,unchanged,1,1,2,2
1,public_0026,buying,worsened,unchanged,3,3,2,6
1,public_0027,buying,worsened,worsened,1,5,2,2
1,public_0028,buying,worsened,worsened,3,6,3,3
1,public_0029,buying,unchanged,unchanged,1,1,2,2
1,public_0030,buying,unchanged,unchanged,1,1,2,2
1,public_0031,buying,unchanged,unchanged,2,2,2,2
1,public_0032,buying,worsened,worsened,5,8,2,9
1,public_0033,browsing,improved,improved,7,1,2,3
1,public_0034,intent_override,unchanged,unchanged,1,1,4,4
1,public_0035,boundary,worsened,unchanged,7,7,3,6
1,public_0036,browsing,improved,improved,5,1,2,3
1,public_0037,browsing,worsened,disappeared,7,,2,
1,public_0038,intent_override,unchanged,unchanged,1,1,4,4
1,public_0039,browsing,worsened,unchanged,1,1,2,3
1,public_0040,browsing,worsened,disappeared,2,,3,
1,public_0041,boundary,unchanged,unchanged,1,1,3,3
1,public_0042,buying,unchanged,unchanged,1,1,2,2
1,public_0043,browsing,unchanged,unchanged,2,2,2,2
1,public_0044,buying,improved,improved,5,1,1,2
1,public_0045,buying,worsened,worsened,1,2,2,3
1,public_0046,intent_override,worsened,worsened,1,3,4,6
1,public_0047,browsing,worsened,unchanged,1,1,2,3
1,public_0048,browsing,improved,improved,4,1,2,3
1,public_0049,browsing,improved,improved,5,1,6,3
1,public_0050,boundary,improved,improved,6,1,3,4
1,public_0051,browsing,unchanged,unchanged,1,1,2,2
1,public_0052,intent_override,improved,improved,7,3,3,5
1,public_0053,buying,improved,improved,9,4,1,5
1,public_0054,buying,worsened,worsened,4,8,1,2
1,public_0055,browsing,unchanged,unchanged,1,1,2,2
1,public_0056,browsing,unchanged,unchanged,1,1,2,2
1,public_0057,browsing,improved,improved,8,1,2,3
1,public_0058,buying,worsened,disappeared,9,,2,
1,public_0059,browsing,worsened,worsened,1,3,2,1
1,public_0060,browsing,worsened,unchanged,1,1,2,3
1,public_0061,buying,worsened,unchanged,1,1,1,2
1,public_0062,browsing,improved,improved,2,1,2,3
1,public_0063,browsing,unchanged,unchanged,1,1,2,2
1,public_0064,intent_override,worsened,disappeared,1,,4,
1,public_0065,buying,worsened,disappeared,1,,3,
1,public_0066,buying,worsened,worsened,1,6,2,3
1,public_0067,buying,worsened,disappeared,10,,1,
1,public_0068,intent_override,unchanged,unchanged,1,1,4,4
1,public_0069,browsing,unchanged,unchanged,1,1,2,2
1,public_0070,browsing,unchanged,unchanged,1,1,2,2
1,public_0071,intent_override,worsened,disappeared,1,,4,
1,public_0072,intent_override,worsened,worsened,1,5,3,3
1,public_0073,browsing,unchanged,unchanged,1,1,2,2
1,public_0074,browsing,unchanged,unchanged,1,1,3,3
1,public_0075,browsing,unchanged,unchanged,1,1,3,3
1,public_0076,browsing,worsened,worsened,1,7,3,4
1,public_0077,browsing,improved,improved,3,2,1,2
1,public_0078,intent_override,worsened,worsened,1,10,3,10
1,public_0079,browsing,improved,improved,2,1,2,3
1,public_0080,intent_override,worsened,disappeared,1,,4,
1,public_0081,browsing,worsened,worsened,5,10,1,1
1,public_0082,buying,unchanged,unchanged,1,1,1,1
1,public_0083,buying,worsened,disappeared,6,,4,
1,public_0084,intent_override,worsened,worsened,1,6,4,4
1,public_0085,browsing,unchanged,unchanged,1,1,2,2
1,public_0086,browsing,unchanged,unchanged,1,1,2,2
1,public_0087,browsing,improved,improved,6,3,4,7
1,public_0088,buying,worsened,worsened,1,6,2,5
1,public_0089,intent_override,worsened,unchanged,1,1,3,4
1,public_0090,buying,unchanged,unchanged,1,1,1,1
1,public_0091,browsing,unchanged,unchanged,1,1,2,2
1,public_0092,browsing,improved,improved,10,4,2,7
1,public_0093,buying,unchanged,unchanged,1,1,2,2
1,public_0094,buying,improved,improved,10,1,2,3
1,public_0095,buying,worsened,unchanged,1,1,2,3
1,public_0096,intent_override,worsened,disappeared,3,,3,
1,public_0097,buying,worsened,worsened,2,8,2,2
1,public_0098,browsing,worsened,unchanged,1,1,2,4
1,public_0099,browsing,worsened,unchanged,2,2,2,3
1,public_0100,browsing,worsened,disappeared,4,,2,
1,public_0101,buying,worsened,unchanged,1,1,2,3
1,public_0102,browsing,unchanged,unchanged,1,1,2,2
1,public_0103,intent_override,worsened,disappeared,7,,4,
1,public_0104,boundary,improved,improved,9,1,2,4
1,public_0105,browsing,improved,improved,2,1,2,3
1,public_0106,buying,improved,improved,3,1,2,3
1,public_0107,buying,improved,improved,7,1,1,2
